mpg,cylinders,displacement,horsepower,weight,acceleration,modelyear,origin,name
18,8,307,130,3504,12,70,1,chevrolet
15,8,350,165,3693,11.5,70,1,buick
18,8,318,150,3436,11,70,1,plymouth
16,8,304,150,3433,12,70,1,amc
17,8,302,140,3449,10.5,70,1,ford
15,8,429,198,4341,10,70,1,ford
14,8,454,220,4354,9,70,1,chevrolet
14,8,440,215,4312,8.5,70,1,plymouth
26,4,97,46,1835,20.5,70,2,volkswagen
25,4,110,87,2672,17.5,70,2,peugeot
24,4,107,90,2430,14.5,70,2,audi
25,4,104,95,2375,17.5,70,2,saab
26,4,121,113,2234,12.5,70,2,bmw
21,6,199,90,2648,15,70,1,amc
10,8,360,215,4615,14,70,1,ford
10,8,307,200,4376,15,70,1,chevy
11,8,318,210,4382,13.5,70,1,dodge
27,4,97,88,2130,14.5,71,3,datsun
25,4,113,95,2228,14,71,3,toyota
28,4,116,90,2123,14,71,2,opel
30,4,79,70,2074,19.5,71,2,peugeot
30,4,88,76,2065,14.5,71,2,fiat
31,4,71,65,1773,19,71,3,toyota
35,4,72,69,1613,18,71,3,datsun
27,4,97,60,1834,19,71,2,volkswagen
24,4,113,95,2278,15.5,72,3,toyota
23,4,97,54,2254,23.5,72,2,volkswagen
19,3,70,97,2330,13.5,72,3,mazda
28,4,97,92,2288,17,72,3,datsun
23,4,120,97,2506,14.5,72,3,toyouta
27,4,97,88,2100,16.5,72,3,toyota
20,4,97,88,2279,19,73,3,toyota
22,4,108,94,2379,16.5,73,3,datsun
18,3,70,90,2124,13.5,73,3,maxda
20,6,156,122,2807,13.5,73,3,toyota
31,4,79,67,1950,19,74,3,datsun
